日付,ビュー合計,スキ合計,記事数,ビュー/記事,スキ/記事,スキ率(%),ビュー前日比(%),スキ前日比(%),スキ率前日比(%),フォロワー数,更新時刻
2026/03/08,12621,3483,83,152.06,41.96,27.6,0.0,0.0,0.0,931,22:52:57
2026/03/09,12763,3535,84,151.94,42.08,27.7,1.13,1.49,0.35,937,23:40:54
2026/03/10,13173,3616,86,153.17,42.05,27.45,3.21,2.29,-0.9,945,23:36:25
2026/03/11,13258,3659,86,154.16,42.55,27.6,0.65,1.19,0.54,954,23:38:58
2026/03/12,13535,3712,87,155.57,42.67,27.43,2.09,1.45,-0.63,957,23:38:59
2026/03/13,13656,3759,88,155.18,42.72,27.53,0.89,1.27,0.35,965,23:31:27
2026/03/14,13926,3828,89,156.47,43.01,27.49,1.98,1.84,-0.15,967,22:57:58
2026/03/15,14010,3863,89,157.42,43.4,27.57,0.6,0.91,0.3,978,23:00:54
2026/03/16,14279,3916,91,156.91,43.03,27.42,1.92,1.37,-0.53,981,20:14:56
2026/03/17,14529,3977,91,159.66,43.7,27.37,1.75,1.56,-0.17,987,19:37:26
2026/03/18,14786,4029,92,160.72,43.79,27.25,1.77,1.31,-0.44,990,22:07:57
2026/03/19,15115,4090,93,162.53,43.98,27.06,2.23,1.51,-0.7,994,22:02:00
2026/03/20,15282,4108,93,164.32,44.17,26.88,1.1,0.44,-0.66,996,17:39:02
