key,title,累計PV,累計スキ,前日比PV,前日比スキ,-7日PV,-6日PV,-5日PV,-4日PV,-3日PV,-2日PV,-1日PV,-7日スキ,-6日スキ,-5日スキ,-4日スキ,-3日スキ,-2日スキ,-1日スキ,7日合計PV,7日合計スキ,稼働数PV,稼働数スキ,トレンドスコア,状態,集計日
n404e7a37911a,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第2話,88,18,3,1,0,0,0,0,0,85,3,0,0,0,0,0,17,1,88,18,2,2,88,🔥 急上昇,2026-06-24
n06d8a29ed90c,動かないタンカー、動いてしまったマイクロバス「リスクはコスト」を、違う分野で考える,150,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-06-24
n2a2d1f8d3319,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』,117,35,0,0,0,0,0,0,84,33,0,0,0,0,0,25,10,0,117,35,2,2,117,⚠️ 減速,2026-06-24
na9f082aebe05,免罪貴族(フリーパスマイノリティ)—教会が政府に変わっただけの話,180,62,0,0,10,12,1,2,3,1,0,1,5,0,2,0,4,0,29,12,6,4,-122,⚠️ 減速,2026-06-24
n7777887c1b89,4ヶ月ぶり2度目のぐええ　,133,63,0,0,5,5,3,2,4,5,0,0,2,2,1,1,2,0,24,8,6,5,17,⚠️ 減速,2026-06-24
nf1e3fcc8c563,レアアース4回：警告：地上の砂漠、深海の砂漠 ――パンドラの箱を抉じ開ける代償,221,81,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,20,5,1,1,20,⚠️ 減速,2026-06-24
n90e431e5bab9,プライバシーポリシー（個人作成・板橋しおり）,350,24,0,0,6,2,4,3,1,3,0,0,0,0,0,0,0,0,19,0,6,0,-10,⚠️ 減速,2026-06-24
n9280ebb769a9,プライバシーポリシー,404,35,0,0,2,3,2,4,2,3,0,0,0,0,0,0,0,0,16,0,6,0,-13,⚠️ 減速,2026-06-24
n411fb6693d0f,自己紹介,1182,760,0,0,0,2,2,0,1,7,0,0,3,2,1,2,3,0,12,11,4,5,-1,⚠️ 減速,2026-06-24
nfd5045f42590,レアアース第3回：「マンガンも」という言葉の軽さ→それは200倍の荒廃、そして「重力に逆らう」行為の異常性,158,30,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,12,2,1,1,12,⚠️ 減速,2026-06-24
nd7043fc2e047,甘い選択、苦い現実,269,89,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,⚠️ 減速,2026-06-24
n1740457db640,平面のパッチワーク４：調和と上書き-多様性の中身,197,59,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3,2,2,1,-7,⚠️ 減速,2026-06-24
n7455aaffad99,ネガティブに「デジタルニッポン２０２５」を読んでみる＋＠　個人情報を国が守らない時代へ,172,36,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,2,1,3,⚠️ 減速,2026-06-24
n1603d02039a7,ヒクイドリキック,285,67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,⚠️ 減速,2026-06-24
n2d6b325fdb6b,平面のパッチワーク３：あなたしか見ていない景色「選択と立ち止まりと回り道」,176,46,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,2,1,⚠️ 減速,2026-06-24
n44710a0a274c,岩屋議員がなぜ当選する？part3　麻生派離脱、あのタイミングは偶然？,126,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,⚠️ 減速,2026-06-24
n70a2f1c3b0ac,平面のパッチーワーク第２回：「不幸の再分配」という考え方,261,68,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,⚠️ 減速,2026-06-24
n86f59f56da4d,「平面のパッチワーク」であれこれ見てみる,273,76,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,1,-3,⚠️ 減速,2026-06-24
n0e726999425d,緋色の研究　と　レイチェル　と　ラッヘ　「かなしい」物語,151,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n1116fce89f69,AI問答？：日本語でイラストづくり１（イラストから写真に変換チャレンジ）,260,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n1194ae57dcf5,柳に風：外野の風をパリィして『へっぽこな悟り』に至るまで,187,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n317e071a8ce2,よくわからない主語と述語の行き先：期待と現実の断崖,182,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n37b9e31f7781,この絵から浮かんだこと,91,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-2,⚠️ 減速,2026-06-24
n3cdd0ba763c7,「能力」か「無気力」か「事理弁識能力」という言葉の迷路,154,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n48260ebf0b71,虚数側の２：６：２について｜数学の話ではない,240,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-2,⚠️ 減速,2026-06-24
n59fe6510f866,岩屋議員がなぜ当選する？謎のキャラが調査,420,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,⚠️ 減速,2026-06-24
n5da5600ebf46,「腕組み会見」その腕の内側、本当に守るべきものは何だったのか,1137,125,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,-3,⚠️ 減速,2026-06-24
n02dd38a93673,AI問答：「火」と「AI」と「巻貝と」　「全能に憧れた私たち」の現在地,155,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤 停止,2026-06-24
n069d3e45e247,「英語もプログラム知識もなく」アプリに挑戦する、それが私６：.jks紛失騒動,217,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤 停止,2026-06-24
n07901b4d4584,ミジンウキマイマイ　5章,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤 停止,2026-06-24
n07a4dfa2ddc7,アウトローとインロー続編：匿名という「新しい相互扶助（ゲマインシャフト）」,82,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,💤 停止,2026-06-24
n0c409465f0cd,サイレントなマイノリティへ　第三回：記録は中立じゃない、だから自分で持つ,267,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤 停止,2026-06-24
n0d366159565c,おれはジュラル星人かもしれない（魔王）,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤 停止,2026-06-24
n0debcb25f95c,虚数側の２：６：２についてpart3「グラフ」を「折り紙」した,221,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,💤 停止,2026-06-24
